model_name,global_mae,shell_mae,cluster_avg_shell_mae,mae_shell_0,mae_shell_1,mae_shell_2,mae_shell_3,mae_shell_4,perturbed_auroc,perturbed_auprc,cluster_avg_auprc,derived_radius_mae,derived_class_macro_f1,cluster_avg_radius_mae,cluster_avg_class_macro_f1
base_v5,0.4439899383952565,0.38377595740742665,0.4581221199649515,0.4778932839778372,0.3395904173236241,0.29653927358593557,0.3179971859017087,0.48685962624802764,0.7212660185832918,0.3183442407964199,0.3893294561664118,28.5506662024691,0.21791595771117897,26.691950318480767,0.3048433043162879
zero_response,0.6991989812939704,0.633063644803444,0.6400537111953417,0.7595152502073875,0.5896468759875441,0.5150438017462057,0.5511163689011636,0.7499959271749191,0.5,0.15968555911804447,0.12433710156333316,44.18357531844488,0.013605849268852992,35.65189474521123,0.1656556470006649
global_mean,0.44676498425317357,0.4085067696968279,0.5842052646407354,0.4917320384439077,0.3947619467209561,0.33657826192617113,0.33973190543691645,0.4797296959561883,0.5,0.15968555911804447,0.12433710156333316,44.18357531844488,0.013605849268852992,35.65189474521123,0.1656556470006649
shell_mean,0.44535418080565337,0.42875689733418154,0.6007625886644348,0.634207966455724,0.4051092852492224,0.31191057001756706,0.30897284317027157,0.48358382177812276,0.5533877474748605,0.1767049207131829,0.15321188045208636,44.18357531844488,0.013605849268852992,35.65189474521123,0.1656556470006649
mutation_type_shell_mean,0.5787345065104883,0.47809213478351387,0.6941488150170134,0.5929837762937891,0.43689341410685995,0.3485776372087106,0.36334611502708825,0.6486597312811216,0.49210578537343935,0.16013597154108172,0.15478733718739848,40.752156054631705,0.0692925885377778,30.999836285232803,0.2358199289824567
esm_mlp,0.4885914902819881,0.43622486342761546,0.46910842287128796,0.5238614951769024,0.36877831079424755,0.3719870173834791,0.3933985268907653,0.5230989668926824,0.633297603943946,0.21312418707391,0.2663800441509736,11.75885315681973,0.3494739894626491,23.623039939963462,0.44570135032906744
geometry_gnn,0.44888611426299807,0.39284301777262953,0.513437036319616,0.5101976014046956,0.35007151884754895,0.29487024049507693,0.31597370469275865,0.4931020234230676,0.6803269210499933,0.26569537647544045,0.3080309079077761,40.48818657138829,0.07876216301068248,26.143561301926603,0.3339242597398855
coordinate_residual,0.6219428799152781,0.5539014708632362,0.5527078474276967,0.6704403138241131,0.5075594849726887,0.441908284289866,0.4776275428319199,0.6719717283975931,0.661302248939476,0.25326751268053277,0.305201656065414,44.18357531844488,0.013605849268852992,35.65189474521123,0.1656556470006649
