model_name,response_threshold,radius_threshold,displacement_threshold,derived_radius_mae,derived_class_macro_f1,cluster_avg_radius_mae,cluster_avg_class_macro_f1
base_v5_seed42,0.2,10.0,1.5,16.549957579150576,0.3414859572534899,14.774467458789081,0.18338194943080577
base_v5_seed42,0.2,12.0,1.5,16.549957579150576,0.34154264511279164,14.774467458789081,0.18331301197348027
base_v5_seed42,0.3,6.0,1.5,17.89041849463453,0.34109500527768016,16.285066825105268,0.1830647620804726
base_v5_seed42,0.3,8.0,1.5,17.89041849463453,0.34126916261532275,16.285066825105268,0.1828537869332288
base_v5_seed42,0.3,10.0,1.5,17.89041849463453,0.34104895076076464,16.285066825105268,0.18286125778887097
base_v5_seed42,0.3,12.0,1.5,17.89041849463453,0.3409353798907902,16.285066825105268,0.18276261900425278
base_v5_seed42,0.4,6.0,1.5,19.873601750582125,0.34080993600815873,18.275413431183253,0.18282778814206552
base_v5_seed42,0.4,8.0,1.5,19.873601750582125,0.3410366820587665,18.275413431183253,0.18273002524653487
base_v5_seed42,0.4,10.0,1.5,19.873601750582125,0.34068156884428386,18.275413431183253,0.18266205186752052
base_v5_seed42,0.4,12.0,1.5,19.873601750582125,0.35022608782035874,18.275413431183253,0.18357976502450002
base_v5_seed42,0.5,6.0,1.5,20.348219006614094,0.34080370166106655,19.82656855561317,0.18278022927097726
base_v5_seed42,0.5,8.0,1.5,20.348219006614094,0.3410069986173198,19.82656855561317,0.1825619696428891
base_v5_seed42,0.5,10.0,1.5,20.348219006614094,0.3405812570086119,19.82656855561317,0.18244782636356388
base_v5_seed42,0.5,12.0,1.5,20.348219006614094,0.3497735088481237,19.82656855561317,0.18338077386783372
base_v5_seed42,0.6,6.0,1.5,21.212815241994445,0.34067263046143587,22.079653608037948,0.18198370431272873
base_v5_seed42,0.6,8.0,1.5,21.212815241994445,0.34081949566522396,22.079653608037948,0.18173367848488825
base_v5_seed42,0.6,10.0,1.5,21.212815241994445,0.3403931928619765,22.079653608037948,0.1816134461751512
base_v5_seed42,0.6,12.0,1.5,21.212815241994445,0.3454054444007038,22.079653608037948,0.18238984902739852
base_v5_seed42,0.7,6.0,1.5,22.00375130974296,0.33983901523861887,23.488880569554084,0.17964409240417098
base_v5_seed42,0.7,8.0,1.5,22.00375130974296,0.33984151474607077,23.488880569554084,0.1793140955447304
base_v5_seed42,0.7,10.0,1.5,22.00375130974296,0.33935568880916717,23.488880569554084,0.17766875264550014
base_v5_seed42,0.7,12.0,1.5,22.00375130974296,0.3339636118798854,23.488880569554084,0.1781384575761026
base_v5_seed42,0.1,6.0,2.0,15.933649289847995,0.3575968624082558,12.662611164946751,0.1926209690161665
base_v5_seed42,0.1,8.0,2.0,15.933649289847995,0.3576496823178877,12.662611164946751,0.1926234367891008
base_v5_seed42,0.1,10.0,2.0,15.933649289847995,0.35781247333385463,12.662611164946751,0.19262720068749614
base_v5_seed42,0.1,12.0,2.0,15.933649289847995,0.3580313089235536,12.662611164946751,0.19264105475178323
base_v5_seed42,0.2,6.0,2.0,16.549957579150576,0.3575968624082558,14.774467458789081,0.1926209690161665
base_v5_seed42,0.2,8.0,2.0,16.549957579150576,0.3576496823178877,14.774467458789081,0.1926234367891008
base_v5_seed42,0.2,10.0,2.0,16.549957579150576,0.35781247333385463,14.774467458789081,0.19262720068749614
base_v5_seed42,0.2,12.0,2.0,16.549957579150576,0.3580313089235536,14.774467458789081,0.19264105475178323
base_v5_seed42,0.3,6.0,2.0,17.89041849463453,0.3572382805414997,16.285066825105268,0.19231740577371564
base_v5_seed42,0.3,8.0,2.0,17.89041849463453,0.3571816215263592,16.285066825105268,0.19221261696880515
base_v5_seed42,0.3,10.0,2.0,17.89041849463453,0.3573436537689192,16.285066825105268,0.1922163808672005
base_v5_seed42,0.3,12.0,2.0,17.89041849463453,0.3575613826007029,16.285066825105268,0.19223023493148758
