alignment_variant,best_eval_shell_mae,test_global_mae,test_shell_mae,test_cluster_avg_shell_mae,test_mae_shell_0,test_mae_shell_1,test_mae_shell_2,test_mae_shell_3,test_mae_shell_4,test_perturbed_auroc,test_perturbed_auprc,test_radius_mae,test_class_macro_f1,mean_alignment_rmsd,mean_shell0_label_disp,mean_shell1_label_disp,mean_shell4_label_disp,perturbed_fraction_shell0,perturbed_fraction_shell1,perturbed_fraction_shell4
kabsch_exclude_4A,,0.4416680634021759,0.3844032108783722,0.4643300299692636,0.4892914891242981,0.3386167883872986,0.29461944103240967,0.31516093015670776,0.48432740569114685,0.7224070551434156,0.32188018316431277,26.50397491455078,0.23702814556267437,0.9565419157886063,0.8630682034136263,0.6228988541090473,0.6474610483777884,0.18559638537327483,0.12129615355868228,0.1382536526364697
kabsch_exclude_8A,,0.4818834066390991,0.432806122303009,0.48089816054762013,0.5389784574508667,0.39805367588996887,0.3431328535079956,0.3624386489391327,0.5214269757270813,0.7321936601739595,0.3236973268366319,25.338512420654297,0.24539167251681734,0.9542151537208358,0.8985617473266255,0.6510651454435264,0.6458852899954678,0.1949398767284795,0.13018059681970215,0.13782604992035474
kabsch_all,,0.44925159215927124,0.392500764131546,0.4628112136094709,0.48214277625083923,0.34874671697616577,0.3101199269294739,0.33201444149017334,0.4894799590110779,0.7333496666482683,0.32965041092612574,21.57073211669922,0.2855548336316564,0.9609945238211929,0.8321308801947725,0.6108423083875502,0.6487209002643392,0.179884342569106,0.11849914513145356,0.13858921101292515
tmalign,,1125.597900390625,946.4009521484375,4805.8235674154885,941.4725341796875,883.8887939453125,823.05908203125,864.804931640625,1218.7794189453125,0.488892436742006,0.9947718824866646,0.0015370091423392296,1.0,4836.793762240451,4547.2754612315375,5042.703325227306,6056.0478521556615,0.9967772923057854,0.9963767354298634,0.9950910597296417
