factor,group,metric,reference,candidate,n_common_clusters,mean_diff,median_diff,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,n_clusters_improved,n_clusters_worsened,fraction_clusters_improved,weighted_mean_diff_by_n_samples,weighted_mean_diff_by_n_residues
exposure_group,buried,mae_shell_2,shell_mean,base_v5,78,-0.11608985862004609,-0.12547845050277895,-0.15413195551568068,-0.07711988531106598,6.415778336149076e-07,58,20,0.7435897435897436,-0.014988245133985409,-0.018650464062028586
exposure_group,buried,mae_shell_3,shell_mean,base_v5,78,-0.09759102042859795,-0.1162418750520309,-0.12883294720697033,-0.06608456739779427,5.084703763208523e-07,54,24,0.6923076923076923,0.008841568256828409,0.008174531307890824
exposure_group,buried,mae_shell_4,shell_mean,base_v5,78,-0.15040932684094535,-0.15516305923830248,-0.18661598016977599,-0.1137197567661847,2.380814289146516e-09,64,14,0.8205128205128205,0.017540284430714655,0.01940229936779508
exposure_group,buried,perturbed_auroc,shell_mean,base_v5,71,0.2505744214454215,0.24010327022375222,0.21839245421535713,0.28207475702591495,5.438634666872688e-13,67,4,0.9436619718309859,0.24227043986230712,0.24085273394258086
exposure_group,buried,perturbed_auprc,shell_mean,base_v5,71,0.2020985506972946,0.19051921838860297,0.16574738343180842,0.23955983375797926,3.2739520452310296e-13,70,1,0.9859154929577465,0.20282324492122242,0.2074990373059762
exposure_group,buried,radius_mae,shell_mean,base_v5,78,-7.238887284313898,0.0,-11.894279419983732,-3.002569314174137,0.00016617774963378906,24,2,0.3076923076923077,-18.262054073866288,-19.896077899091562
exposure_group,buried,class_correct,shell_mean,base_v5,78,0.09586815974807072,0.0,-0.0015043032896577496,0.19390787874233326,0.07838554030717196,17,10,0.21794871794871795,0.5023698253289582,0.5387214121111304
exposure_group,buried,class_macro_f1,shell_mean,base_v5,78,0.03195605324935691,0.0,-0.0005014344298859172,0.06463595958077775,0.07838554030717196,17,10,0.21794871794871795,0.16745660844298604,0.17957380403704346
exposure_group,buried,non_local_f1,shell_mean,base_v5,78,0.17733789030086042,0.0,0.10359390780901351,0.25903337624022976,0.00016879601929548985,18,0,0.23076923076923078,0.5065128766033609,0.5434169511151575
exposure_group,buried,non_local_recall,shell_mean,base_v5,72,0.2015315909319945,0.0,0.11840399133111854,0.29345616474927044,0.00013096728661823412,18,0,0.25,0.5164233576642335,0.5542552217607797
substitution_size_group,small_to_large,global_mae,shell_mean,base_v5,45,-0.13862028666955886,-0.15225136430273659,-0.18200948591121746,-0.0948262087887689,5.778346121587674e-07,35,10,0.7777777777777778,-0.04055133016869149,-0.0306355662704334
substitution_size_group,small_to_large,shell_mae,shell_mean,base_v5,45,-0.13221512923303977,-0.1680793363961331,-0.18186601798729707,-0.08135341074256869,1.530477157984933e-05,35,10,0.7777777777777778,-0.06023840485891417,-0.054133801202697035
substitution_size_group,small_to_large,mae_shell_0,shell_mean,base_v5,45,-0.1768179288672136,-0.1929213404655456,-0.2682002343981749,-0.08278097034076178,0.0009013545463858463,32,13,0.7111111111111111,-0.12690406357100484,-0.12339497500680237
substitution_size_group,small_to_large,mae_shell_1,shell_mean,base_v5,45,-0.12094298739280274,-0.13820767775177956,-0.17482752628335388,-0.06640183022344003,0.00010085229104106475,35,10,0.7777777777777778,-0.05727730457010739,-0.05462591820487307
substitution_size_group,small_to_large,mae_shell_2,shell_mean,base_v5,45,-0.11880778080197579,-0.12413720587889354,-0.16230032974429068,-0.07568047229398665,6.539435844388208e-06,35,10,0.7777777777777778,-0.04246336993846583,-0.03733107970725513
substitution_size_group,small_to_large,mae_shell_3,shell_mean,base_v5,45,-0.09481877302599487,-0.11179511062800884,-0.13516666964192506,-0.05340441007635346,4.066733583840687e-05,33,12,0.7333333333333333,-0.03604803050751621,-0.02774365167760594
substitution_size_group,small_to_large,mae_shell_4,shell_mean,base_v5,45,-0.14968817607721163,-0.14781680944520162,-0.1949315598650877,-0.10406395831850412,3.541444471011346e-07,36,9,0.8,-0.03849925570747661,-0.02757338141694867
substitution_size_group,small_to_large,perturbed_auroc,shell_mean,base_v5,43,0.22854996291927793,0.23920679060006433,0.18027508533906828,0.2681787722827894,2.2639596863882616e-09,42,1,0.9767441860465116,0.32311222695616554,0.3191724382844883
substitution_size_group,small_to_large,perturbed_auprc,shell_mean,base_v5,43,0.22194768634257211,0.22534943141382724,0.1600351356256325,0.2882888253026376,9.799805411603302e-10,41,2,0.9534883720930233,0.22687350730720646,0.22362590314579506
substitution_size_group,small_to_large,radius_mae,shell_mean,base_v5,45,-13.368525241866822,0.0,-22.983485971612783,-5.547055278042861,0.0013427734375,15,2,0.3333333333333333,-7.455885135173315,-8.137881830208757
substitution_size_group,small_to_large,class_correct,shell_mean,base_v5,45,0.1908644222173279,0.0,0.06890541405878835,0.31958768070541255,0.006909200037091757,14,2,0.3111111111111111,0.17863475177304963,0.1843834676878274
substitution_size_group,small_to_large,class_macro_f1,shell_mean,base_v5,45,0.06362147407244265,0.0,0.022968471352929447,0.10652922690180419,0.006909200037091757,14,2,0.3111111111111111,0.05954491725768322,0.061461155895942456
substitution_size_group,small_to_large,non_local_f1,shell_mean,base_v5,45,0.24615599007100938,0.0,0.13535207811662028,0.3678189339105608,0.0005670375762707221,15,0,0.3333333333333333,0.18585359675785207,0.19011528758317384
substitution_size_group,small_to_large,non_local_recall,shell_mean,base_v5,42,0.298468281264238,0.0,0.1673234811165846,0.433060508959914,0.00035727473811722016,15,0,0.35714285714285715,0.1905225576111652,0.1945591791461215
substitution_size_group,large_to_small,global_mae,shell_mean,base_v5,75,-0.1449382623117547,-0.1526415964895828,-0.18088367667144084,-0.10764376823380858,4.737560173223049e-09,60,15,0.8,0.015270374015150804,0.014154403641061786
substitution_size_group,large_to_small,shell_mae,shell_mean,base_v5,75,-0.15559328212552254,-0.17839072684307275,-0.19706463694726783,-0.11283795914301738,2.2432705420241743e-08,61,14,0.8133333333333334,-0.03771710068314046,-0.0493770756497809
