model_name,factor,group,metric,sample_mean,cluster_mean,sample_weighted_cluster_mean,residue_weighted_cluster_mean,n_samples,n_clusters,n_residues,n_valid_samples,bootstrap_ci_low,bootstrap_ci_high
MuSRNet,exposure_group,exposed,global_mae,0.4195963654184945,0.5083233207879664,0.41959636541849443,0.42361975364077714,15810,54,4358892,15810,0.28690172144675025,0.8367264708699322
MuSRNet,exposure_group,exposed,shell_mae,0.41693930571432436,0.5971906978599998,0.41693930571432436,0.4147780525960399,15810,54,4358892,15810,0.3676292844001937,0.9192219474505172
MuSRNet,exposure_group,exposed,mae_shell_0,0.5251535664720965,0.8263416157320633,0.5251535664720965,0.5156961148778023,15810,54,4358892,15810,0.529665585120687,1.1724977611371403
MuSRNet,exposure_group,exposed,mae_shell_1,0.45788778321930595,0.6666978553806463,0.457887783219306,0.455999704603433,15810,54,4358892,15810,0.39167319337283124,1.053972731025943
MuSRNet,exposure_group,exposed,mae_shell_2,0.34800860041745646,0.502696450599539,0.34800860041745646,0.3524873863924213,15810,54,4358892,15810,0.29966283737518573,0.7940653551304572
MuSRNet,exposure_group,exposed,mae_shell_3,0.3192609012544339,0.47650618131325023,0.31926090125443396,0.30801897667581035,15810,54,4358892,15810,0.2691339805476475,0.7654905308165999
MuSRNet,exposure_group,exposed,mae_shell_4,0.434385677208329,0.5137113862745001,0.4343856772083291,0.44168808043073293,15810,54,4358892,15810,0.28192875891990055,0.8539845572972955
MuSRNet,exposure_group,exposed,perturbed_auroc,0.835707344292808,0.8212318413705472,0.8357073442928081,0.8329402223013934,15810,54,4358892,15074,0.7807935850240794,0.8570217296227232
MuSRNet,exposure_group,exposed,perturbed_auprc,0.4020061690701799,0.44897198860394527,0.40200616907017994,0.4010780683903054,15810,54,4358892,15074,0.381969903203901,0.51840938963404
MuSRNet,exposure_group,exposed,radius_mae,36.86709513006747,26.353931019732087,36.86709513006747,40.21885376343068,15810,54,4358892,15810,20.529925743288413,32.902799555034136
MuSRNet,exposure_group,exposed,class_correct,0.2148640101201771,0.36858252694437293,0.2148640101201771,0.20228877586640145,15810,54,4358892,15810,0.25906608479275534,0.4801609028872452
MuSRNet,exposure_group,exposed,class_macro_f1,0.0716213367067257,0.12286084231479094,0.0716213367067257,0.06742959195546715,15810,54,4358892,15810,0.08635536159758508,0.16005363429574843
MuSRNet,exposure_group,exposed,non_local_f1,0.20638836179633144,0.27216270424670985,0.20638836179633144,0.1940850277791167,15810,54,4358892,15810,0.1676015653407026,0.38164135963713597
MuSRNet,exposure_group,exposed,non_local_recall,0.21622158902657213,0.32508000068441206,0.21622158902657213,0.1995116340232848,15810,54,4358892,15091,0.2055325521617849,0.4508892833974703
MuSRNet,exposure_group,buried,global_mae,0.45176531277161563,0.4531136877130058,0.4517653127716158,0.4549191545099621,30171,78,8311089,30171,0.29708635658196336,0.6876788538784924
MuSRNet,exposure_group,buried,shell_mae,0.38266114408752966,0.45383452760810655,0.38266114408752977,0.3569171457285714,30171,78,8311089,30171,0.3114568378500933,0.67273346039512
MuSRNet,exposure_group,buried,mae_shell_0,0.45685000588502045,0.5275331734740052,0.45685000588502045,0.3585245425074068,30171,78,8311089,30171,0.3599624334645625,0.7515054800068276
MuSRNet,exposure_group,buried,mae_shell_1,0.32399753246640955,0.478723024443096,0.3239975324664096,0.29564445814583296,30171,78,8311089,30171,0.30839773111405727,0.7452666927166002
MuSRNet,exposure_group,buried,mae_shell_2,0.300679600521164,0.39411316520502676,0.30067960052116394,0.2936127026671509,30171,78,8311089,30171,0.26724950918075124,0.588280389670686
MuSRNet,exposure_group,buried,mae_shell_3,0.3281305652074806,0.39985492134993317,0.3281305652074806,0.3217461717774217,30171,78,8311089,30171,0.26861332809970107,0.599444408430212
MuSRNet,exposure_group,buried,mae_shell_4,0.5036480163575738,0.46894835356847114,0.5036480163575737,0.5150578535450443,30171,78,8311089,30171,0.30342257578182447,0.7129736172467521
MuSRNet,exposure_group,buried,perturbed_auroc,0.8102529947180841,0.8033489598550162,0.8102529947180841,0.8086435924414169,30171,78,8311089,29594,0.7748561566942761,0.8292480710097869
