model_name,response_threshold,radius_threshold,displacement_threshold,derived_radius_mae,derived_class_macro_f1,cluster_avg_radius_mae,cluster_avg_class_macro_f1
base_v5,0.1,6.0,0.5,7.507309499056243,0.3302431875275112,13.676899106621688,0.26386918830359685
base_v5,0.1,8.0,0.5,7.507309499056243,0.3300000199573786,13.676899106621688,0.2624215971917428
base_v5,0.1,10.0,0.5,7.507309499056243,0.32902785596555034,13.676899106621688,0.2620993482008127
base_v5,0.1,12.0,0.5,7.507309499056243,0.3291960216660588,13.676899106621688,0.2613418756338185
base_v5,0.2,6.0,0.5,12.478386463475687,0.3130139579144049,16.006887608479456,0.2369097567920876
base_v5,0.2,8.0,0.5,12.478386463475687,0.3125076029613512,16.006887608479456,0.2365525760258333
base_v5,0.2,10.0,0.5,12.478386463475687,0.31133316559918084,16.006887608479456,0.23572940139865028
base_v5,0.2,12.0,0.5,12.478386463475687,0.31191847214091223,16.006887608479456,0.23433585872819102
base_v5,0.3,6.0,0.5,19.779869801772946,0.27122754260932735,22.423379445525608,0.19409582918292023
base_v5,0.3,8.0,0.5,19.779869801772946,0.27112318768419424,22.423379445525608,0.1929729686431181
base_v5,0.3,10.0,0.5,19.779869801772946,0.27756289022971453,22.423379445525608,0.1924818509041977
base_v5,0.3,12.0,0.5,19.779869801772946,0.2791755943514764,22.423379445525608,0.19110372823172933
base_v5,0.4,6.0,0.5,23.502250970907156,0.2547690202553298,24.811438843406037,0.16517126801144363
base_v5,0.4,8.0,0.5,23.502250970907156,0.2552876760842007,24.811438843406037,0.16155990724275365
base_v5,0.4,10.0,0.5,23.502250970907156,0.25990279440521885,24.811438843406037,0.1580335332819245
base_v5,0.4,12.0,0.5,23.502250970907156,0.2610885623089712,24.811438843406037,0.15744869438004463
base_v5,0.5,6.0,0.5,27.25346881585067,0.21722384231603145,26.692125213830867,0.13523886273608787
base_v5,0.5,8.0,0.5,27.25346881585067,0.2179146068725967,26.692125213830867,0.13097236746873064
base_v5,0.5,10.0,0.5,27.25346881585067,0.2224034237733454,26.692125213830867,0.13087064466100515
base_v5,0.5,12.0,0.5,27.25346881585067,0.2233890804854551,26.692125213830867,0.13027818259592422
base_v5,0.6,6.0,0.5,28.493794599717756,0.20525533151078432,29.30942271114096,0.1092878108051313
base_v5,0.6,8.0,0.5,28.493794599717756,0.2059228105114427,29.30942271114096,0.10468761490057618
base_v5,0.6,10.0,0.5,28.493794599717756,0.21025363793493454,29.30942271114096,0.10495340621783235
base_v5,0.6,12.0,0.5,28.493794599717756,0.2112211695692692,29.30942271114096,0.10671765865389296
base_v5,0.7,6.0,0.5,30.093037797800054,0.1900194406121335,30.54452646725399,0.09911471631279212
base_v5,0.7,8.0,0.5,30.093037797800054,0.19064007387006196,30.54452646725399,0.0945146529040281
base_v5,0.7,10.0,0.5,30.093037797800054,0.19468785297697036,30.54452646725399,0.09477792039222772
base_v5,0.7,12.0,0.5,30.093037797800054,0.1956186001216316,30.54452646725399,0.09654398781484289
base_v5,0.1,6.0,1.0,7.507309499056243,0.2568954864158068,13.676899106621688,0.16296116315867487
base_v5,0.1,8.0,1.0,7.507309499056243,0.2569498520907117,13.676899106621688,0.16268098112817503
base_v5,0.1,10.0,1.0,7.507309499056243,0.25743177384754895,13.676899106621688,0.16250519064136293
base_v5,0.1,12.0,1.0,7.507309499056243,0.2574850444966782,13.676899106621688,0.16132994756860142
base_v5,0.2,6.0,1.0,12.478386463475687,0.25181359969969647,16.006887608479456,0.16215075330562642
base_v5,0.2,8.0,1.0,12.478386463475687,0.2511489256956258,16.006887608479456,0.1617546451195945
base_v5,0.2,10.0,1.0,12.478386463475687,0.25189833346739915,16.006887608479456,0.1608634324416931
base_v5,0.2,12.0,1.0,12.478386463475687,0.25393413629383105,16.006887608479456,0.15787974865553317
base_v5,0.3,6.0,1.0,19.779869801772946,0.2489500623141204,22.423379445525608,0.15968073455575063
base_v5,0.3,8.0,1.0,19.779869801772946,0.24795143251225626,22.423379445525608,0.1577232285451212
base_v5,0.3,10.0,1.0,19.779869801772946,0.24874215833658028,22.423379445525608,0.15710598328246342
base_v5,0.3,12.0,1.0,19.779869801772946,0.2502435887660034,22.423379445525608,0.15400429201603788
base_v5,0.4,6.0,1.0,23.502250970907156,0.24072774582463816,24.811438843406037,0.14694714467854755
base_v5,0.4,8.0,1.0,23.502250970907156,0.24039980816665227,24.811438843406037,0.1404490943894954
base_v5,0.4,10.0,1.0,23.502250970907156,0.240938185448022,24.811438843406037,0.13973508084213684
base_v5,0.4,12.0,1.0,23.502250970907156,0.24173088878948137,24.811438843406037,0.13915682529509812
base_v5,0.5,6.0,1.0,27.25346881585067,0.2126708202442709,26.692125213830867,0.1250526379308757
base_v5,0.5,8.0,1.0,27.25346881585067,0.21278403400767268,26.692125213830867,0.11935181625709598
base_v5,0.5,10.0,1.0,27.25346881585067,0.21335887810333412,26.692125213830867,0.11905610599849947
base_v5,0.5,12.0,1.0,27.25346881585067,0.21377776287728165,26.692125213830867,0.11847472085083623
base_v5,0.6,6.0,1.0,28.493794599717756,0.2015146961887583,29.30942271114096,0.10051740123028931
base_v5,0.6,8.0,1.0,28.493794599717756,0.2016103226245863,29.30942271114096,0.09481846727989204
base_v5,0.6,10.0,1.0,28.493794599717756,0.2022616540813814,29.30942271114096,0.09484600036971212
base_v5,0.6,12.0,1.0,28.493794599717756,0.20270152491668972,29.30942271114096,0.0966203079386019
base_v5,0.7,6.0,1.0,30.093037797800054,0.18559210577793542,30.54452646725399,0.08760621768655555
base_v5,0.7,8.0,1.0,30.093037797800054,0.18566010756549942,30.54452646725399,0.08190388931265938
base_v5,0.7,10.0,1.0,30.093037797800054,0.18625721101931983,30.54452646725399,0.0819178820275481
base_v5,0.7,12.0,1.0,30.093037797800054,0.1866903104203658,30.54452646725399,0.08366804066157339
base_v5,0.1,6.0,1.5,7.507309499056243,0.21315123719869253,13.676899106621688,0.15546989807785988
base_v5,0.1,8.0,1.5,7.507309499056243,0.21318780295059814,13.676899106621688,0.15547008617705593
base_v5,0.1,10.0,1.5,7.507309499056243,0.21365240676693856,13.676899106621688,0.15546987516234767
base_v5,0.1,12.0,1.5,7.507309499056243,0.21365138698501884,13.676899106621688,0.15545534364594144
base_v5,0.2,6.0,1.5,12.478386463475687,0.212900477293774,16.006887608479456,0.15541141735946198
base_v5,0.2,8.0,1.5,12.478386463475687,0.212650071843592,16.006887608479456,0.15534453749730198
base_v5,0.2,10.0,1.5,12.478386463475687,0.21309553845368814,16.006887608479456,0.15533719990847886
base_v5,0.2,12.0,1.5,12.478386463475687,0.21743475225070197,16.006887608479456,0.15344384374001654
base_v5,0.3,6.0,1.5,19.779869801772946,0.21288536528602128,22.423379445525608,0.15540785309865962
base_v5,0.3,8.0,1.5,19.779869801772946,0.21261362889636046,22.423379445525608,0.1547775600478373
base_v5,0.3,10.0,1.5,19.779869801772946,0.21290610940133622,22.423379445525608,0.1543200421132333
base_v5,0.3,12.0,1.5,19.779869801772946,0.21691605272845316,22.423379445525608,0.15241253119763593
base_v5,0.4,6.0,1.5,23.502250970907156,0.21276884711514488,24.811438843406037,0.15538083588124524
base_v5,0.4,8.0,1.5,23.502250970907156,0.21248908461406144,24.811438843406037,0.14951583917984335
base_v5,0.4,10.0,1.5,23.502250970907156,0.2127812810197597,24.811438843406037,0.14905832124523932
base_v5,0.4,12.0,1.5,23.502250970907156,0.21669068396208965,24.811438843406037,0.1492934488359168
base_v5,0.5,6.0,1.5,27.25346881585067,0.21236510155977575,26.692125213830867,0.1500902179956003
base_v5,0.5,8.0,1.5,27.25346881585067,0.21230043283288466,26.692125213830867,0.14569442881684913
base_v5,0.5,10.0,1.5,27.25346881585067,0.21276326941097012,26.692125213830867,0.14569131787823597
base_v5,0.5,12.0,1.5,27.25346881585067,0.2166501276948686,26.692125213830867,0.14592644546891345
base_v5,0.6,6.0,1.5,28.493794599717756,0.212266310508055,29.30942271114096,0.1489042256303393
base_v5,0.6,8.0,1.5,28.493794599717756,0.2122375177625044,29.30942271114096,0.14451691821272886
base_v5,0.6,10.0,1.5,28.493794599717756,0.21270021871410613,29.30942271114096,0.14451379335919134
base_v5,0.6,12.0,1.5,28.493794599717756,0.21651018729906102,29.30942271114096,0.14473621685635613
base_v5,0.7,6.0,1.5,30.093037797800054,0.210190387574314,30.54452646725399,0.1474834981149042
base_v5,0.7,8.0,1.5,30.093037797800054,0.21016014567515404,30.54452646725399,0.14309619069729376
base_v5,0.7,10.0,1.5,30.093037797800054,0.2106184055024171,30.54452646725399,0.14309213707883847
base_v5,0.7,12.0,1.5,30.093037797800054,0.21404107980940087,30.54452646725399,0.14316866833560823
base_v5,0.1,6.0,2.0,7.507309499056243,0.22558812897858918,13.676899106621688,0.17943916398445028
base_v5,0.1,8.0,2.0,7.507309499056243,0.2256178217558006,13.676899106621688,0.17943916398445028
base_v5,0.1,10.0,2.0,7.507309499056243,0.2260187455598143,13.676899106621688,0.17943585946033966
base_v5,0.1,12.0,2.0,7.507309499056243,0.22598896215305211,13.676899106621688,0.179427107949909
base_v5,0.2,6.0,2.0,12.478386463475687,0.22556680270885407,16.006887608479456,0.17943525998884835
base_v5,0.2,8.0,2.0,12.478386463475687,0.22558458863803296,16.006887608479456,0.17943302741764383
base_v5,0.2,10.0,2.0,12.478386463475687,0.22598542269805047,16.006887608479456,0.17942970716239026
base_v5,0.2,12.0,2.0,12.478386463475687,0.22595562444358755,16.006887608479456,0.17942091766916746
base_v5,0.3,6.0,2.0,19.779869801772946,0.22554547368004396,22.423379445525608,0.17943134628986052
base_v5,0.3,8.0,2.0,19.779869801772946,0.2255751592598669,22.423379445525608,0.17943134628986052
base_v5,0.3,10.0,2.0,19.779869801772946,0.225847598067187,22.423379445525608,0.1792459115539564
base_v5,0.3,12.0,2.0,19.779869801772946,0.22581773613909248,22.423379445525608,0.1792371082301026
base_v5,0.4,6.0,2.0,23.502250970907156,0.22554547368004396,24.811438843406037,0.17943134628986052
